met type,date,mean/sum,min,max,%complete,comments
Air Temperature,04/08/2010,15.23,12.57,18.08,100,
Air Temperature,05/08/2010,15.22,10.4,20.15,100,
Air Temperature,06/08/2010,15.11,11.51,17.12,100,
Air Temperature,07/08/2010,16.23,14.56,18.68,100,
Air Temperature,08/08/2010,16.92,12.33,23.04,100,
Air Temperature,09/08/2010,16.33,12.19,20.18,100,
Air Temperature,10/08/2010,15.57,13.23,16.67,100,
Air Temperature,11/08/2010,15.25,11.83,18,100,
Air Temperature,12/08/2010,15.01,11.81,18.68,100,
Air Temperature,13/08/2010,13.15,10.91,17.19,100,
Air Temperature,14/08/2010,13.2,11.57,16.97,100,
Air Temperature,15/08/2010,16.14,11.59,21.52,100,
Air Temperature,16/08/2010,17.16,12.39,23.51,100,
Air Temperature,17/08/2010,15.42,13.44,17.81,100,
Air Temperature,18/08/2010,14.55,11.94,18.17,100,
Air Temperature,19/08/2010,15.33,11.43,19.43,100,
Air Temperature,20/08/2010,17.04,15.49,18.21,100,
Air Temperature,21/08/2010,17.66,16.96,18.32,100,
Air Temperature,22/08/2010,17.26,16.58,18.42,100,
Air Temperature,23/08/2010,16.3,11.9,19.1,100,
Air Temperature,24/08/2010,14.44,10.25,18.97,100,
Air Temperature,25/08/2010,13.31,11.05,17.4,100,
Air Temperature,26/08/2010,16.37,14.43,17.56,100,
Air Temperature,27/08/2010,13.48,10.94,17.22,100,
Air Temperature,28/08/2010,14.1,9.8,18.2,100,
Air Temperature,29/08/2010,13.34,10.42,17.49,100,
Air Temperature,30/08/2010,12.71,8.1,17.67,100,
Air Temperature,31/08/2010,13.27,8,18.83,100,
Air Temperature,01/09/2010,13.93,8.38,19.72,100,
Air Temperature,02/09/2010,14.41,8.91,20.52,100,
Air Temperature,03/09/2010,14.98,10.9,20.72,100,
Air Temperature,04/09/2010,14.71,10.37,19.35,100,
Air Temperature,05/09/2010,14.91,11.64,18.77,100,
Air Temperature,06/09/2010,14.99,12.09,18.87,100,
Air Temperature,07/09/2010,14.24,11.95,17.81,100,
Air Temperature,08/09/2010,14.36,12.38,18.17,100,
Air Temperature,09/09/2010,15.55,12.55,20.58,100,
Air Temperature,10/09/2010,15.64,13.15,18.02,100,
Air Temperature,11/09/2010,16.03,13.17,18.42,100,
Air Temperature,12/09/2010,14.45,11,19.13,100,
Air Temperature,13/09/2010,13.99,10.75,17.31,100,
Air Temperature,14/09/2010,15.36,12.11,17.52,100,
Air Temperature,15/09/2010,12.31,8.39,15.36,100,
Air Temperature,16/09/2010,12.74,9.43,16.63,100,
Air Temperature,17/09/2010,11.14,8.13,15.23,100,
Air Temperature,18/09/2010,11.22,7.03,15.83,100,
Air Temperature,19/09/2010,13.19,9.38,15.92,100,
Air Temperature,20/09/2010,15.84,13.39,19.58,100,
Air Temperature,21/09/2010,14.51,10.52,19.9,100,
Air Temperature,22/09/2010,14.8,9.91,20.77,100,
Air Temperature,23/09/2010,14.22,11.63,15.87,100,
Air Temperature,24/09/2010,10.55,6.72,13.85,100,
